Runs|3000
Advert.Intens.|25.0
Order Quantity|1500.0
Mean|126812.16
Median|128115.9
Variance|40637228.61
Stand. Error|116.41
Skewness|-6.3
Kurtosis|45.93
Half Width|228.2
CI inf|126583.96
